nazwa,Opis,lat,lon,Data instalacji
Al. USA - suma,,,,1900-01-01
Al. USA - północ,,"52,23064","21,069704",2015-12-18
Al. USA - południe,,"52,23031","21,070719",2015-12-18
Banacha,,"52,21058","20,986546",2015-05-29
Bazyliańska,,"52,29122","21,01915",2014-12-09
Belwederska,,"52,21154","21,026775",2015-12-10
Dworzec Wilenski (al. Solidarności),,"52,2553","21,035776",2015-05-29
Dworzec Wileński Nowy( Targowa),,"52,254055","21,035517",2015-05-29
Marszałkowska,,"52,2359231849","21,0077606974",2015-10-01
Most Gdański - suma,,,,1900-01-01
Most Gdański - ciąg pieszo-rowerowy,,"52,260525","21,007986",2014-08-13
Most Gdanski - ścieżka rowerowa,,"52,260445","21,007914",2014-08-13
NSR - Solec - suma,,,,1900-01-01
NSR - Solec - ciąg pieszo-rowerowy,,"52,231167","21,042242",2014-08-13
NSR-Solec - ścieżka rowerowa,,"52,230988","21,041431",2014-08-13
Praska sciezka rekreacyjna,,"52,24011","21,03948",2014-08-14
Świętokrzyska - Emilii Plater - suma,,,,1900-01-01
"Świętokrzyska - Emilii Plater, płd",,"52,233852","21,00201",2015-10-01
"Świętokrzyska - Emilii Plater, płn",,"52,2338912228","21,0018517909",2015-10-01
Wybrzeże Helskie,,"52,2620480441","21,0149154882",2014-12-09
Wysockiego,,"52,290447","21,019197",2014-12-09
Żwirki i Wigury/Trojdena - suma,,,,1900-01-01
"Żwirki i Wigury/Trojdena, zach",,"52,205696","20,985958",2016-05-05
"Żwirki i Wigury/Trojdena, wsch",,"52,205463","20,986628",2016-05-05
