Data;NSR-Solec - ścieżka rowerowa;Most Gdanski - ścieżka rowerowa;Praska sciezka rekreacyjna;Rowery;NSR - Solec - ciąg pieszo-rowerowy;Most Gdański - ciąg pieszo-rowerowy;Dworzec Wilenski (al. Solidarności);Banacha;Wysockiego;Bazyliańska;Świętokrzyska - Emilii Plater, płd;Świętokrzyska - Emilii Plater, płn;Marszałkowska;Belwederska;Al. USA - północ;Al. USA - południe;Dworzec Wileński Nowy( Targowa);Żwirki i Wigury/Trojdena zach.;Żwirki i Wigury/Trojdena wsch.;Wybrzeże Helskie
2017-04-20;517;565;321;123;113;294;662;1782;259;95;1133;1324;702;673;179;300;600;260;930;903
2017-04-21;476;438;245;115;128;519;548;1662;201;61;1158;1134;668;533;118;237;530;267;803;736
2017-04-22;387;505;425;171;280;750;383;770;176;42;599;738;399;640;122;229;465;142;503;616
2017-04-23;522;638;692;329;388;958;468;863;248;68;643;847;448;619;168;341;493;153;567;813
2017-04-24;628;601;292;131;109;289;737;2109;316;107;1256;1519;807;809;174;339;706;321;1092;973
2017-04-25;760;807;450;217;180;529;856;2469;360;122;1475;1870;894;898;230;419;762;462;1269;1194
2017-04-26;247;243;108;13;145;388;359;1179;121;61;657;734;406;323;61;127;346;220;618;440
2017-04-27;365;390;148;52;111;325;512;1527;187;91;880;1097;587;492;99;180;447;268;787;621
2017-04-28;128;123;53;8;138;558;252;604;53;19;338;398;221;163;33;72;236;117;295;238
2017-04-29;389;588;439;198;258;784;398;757;232;98;600;723;413;376;175;271;417;151;509;722
2017-04-30;711;966;808;489;366;1017;599;1005;359;110;742;931;530;648;218;352;626;175;652;1031
2017-05-01;1934;2493;2229;1325;109;334;1139;1966;790;260;1278;1703;1022;1472;460;766;955;263;1447;2448
2017-05-02;985;1206;1216;661;187;615;901;1598;529;175;1141;1560;767;914;304;582;886;284;1028;1509
2017-05-03;620;817;739;401;145;401;541;800;331;90;632;780;437;693;160;374;557;131;651;816
2017-05-04;191;257;142;51;112;358;279;767;168;65;559;657;365;271;97;136;364;139;365;401
2017-05-05;1433;1463;1009;581;136;634;1195;2487;726;214;1674;2298;1065;1279;424;762;1087;362;1480;1849
2017-05-06;2218;2958;1924;1326;246;896;1371;2723;906;304;1757;2278;1001;1684;490;913;1214;381;1808;2850
2017-05-07;483;652;560;244;336;1061;450;859;235;78;626;816;445;449;196;242;443;175;565;709
2017-05-08;428;443;121;21;114;358;568;1653;207;77;944;1195;588;581;150;263;510;303;827;746
2017-05-09;516;543;305;87;183;605;632;2069;210;77;1147;1370;785;717;144;322;576;379;1050;883
2017-05-10;516;534;349;87;146;429;629;1942;233;90;1172;1358;716;690;164;263;603;337;991;935
2017-05-11;636;672;317;147;112;348;689;2040;295;107;1143;1375;703;759;201;352;590;313;1054;1052
2017-05-12;1631;1697;916;502;136;692;1350;3338;688;219;2221;2597;1320;1521;466;899;1204;543;1866;2116
2017-05-13;3176;3529;2385;1550;267;989;1731;3476;1157;340;2257;2956;1399;1986;649;1208;1576;477;1984;3538
2017-05-14;4121;4634;3104;2136;348;1204;1958;3809;1469;429;2421;3027;1425;2334;752;1580;1601;493;2501;4165
2017-05-15;1559;1375;687;423;110;378;1509;3567;721;253;2292;2773;1400;1625;493;919;1240;637;2163;2152
2017-05-16;2281;2108;1108;729;183;649;1987;4872;986;322;3094;3704;1675;2036;669;1168;1690;810;2884;3044
2017-05-17;2544;2215;1185;797;146;460;2112;5112;1032;309;3204;3985;1782;2271;650;1295;1721;780;2944;3388
2017-05-18;2709;2420;1382;820;112;410;2299;5235;1115;334;3362;4066;1718;2356;711;1440;1743;770;3159;3423
2017-05-19;2936;2511;1658;988;137;794;2184;5129;1037;357;3285;4012;1904;2275;682;1357;1923;780;2961;3655
2017-05-20;4807;4292;3247;2133;265;1233;2266;3862;1415;406;2922;3624;1677;2386;882;1595;2082;541;2451;4605
2017-05-21;3250;3467;2685;1867;382;1410;1779;3190;1024;339;2216;2905;1248;1809;703;1204;1622;479;2109;3583
2017-05-22;2222;1890;1005;684;110;417;1990;5024;1004;325;3207;3631;1737;2153;713;1244;1636;665;2717;3175
2017-05-23;2517;2247;1106;721;183;795;2012;5414;1142;360;3425;4156;1855;2280;766;1224;1724;848;3227;3406
2017-05-24;871;782;312;121;146;536;1178;2777;475;180;1906;2175;1116;1098;303;523;1010;439;1507;1639
2017-05-25;2341;2063;981;640;112;451;1991;4814;1038;320;3248;3409;1830;2097;627;1136;1685;746;2803;3027
2017-05-26;1369;1205;545;282;138;860;1630;3774;698;222;2671;2660;1484;1618;403;719;1317;646;2040;2266
2017-05-27;3834;3861;2541;1727;309;1246;1855;3259;1248;385;2277;2808;1485;1906;835;1494;1790;413;2146;3887
2017-05-28;5100;5343;3444;2479;410;1718;2221;4283;1565;473;2611;2965;1545;2316;904;1663;1899;589;2886;4978
2017-05-29;2361;1945;908;630;115;504;2124;5002;1060;352;3159;3382;1753;2010;590;1213;1761;755;2923;3109
2017-05-30;2875;2587;928;778;193;956;2390;5628;1276;399;3768;3635;1833;2424;789;1444;1972;839;3421;3750
2017-05-31;1946;1570;588;387;146;542;1750;4420;765;274;3093;3064;1613;1845;555;1012;1485;735;2589;2569
2017-06-01;1638;836;498;411;117;471;1744;4189;652;234;2949;2628;1492;1693;435;890;1380;622;2247;2386
2017-06-02;2386;2047;1020;592;137;1008;2022;4387;858;285;3305;3012;1747;1823;542;1075;1797;675;2581;3134
2017-06-03;3560;3688;2325;1576;313;1466;1997;3399;1104;332;2417;2479;1526;1843;674;1281;1757;521;1971;3711
2017-06-04;3166;3571;2269;1610;428;1871;1582;3111;1081;337;1861;1928;1099;1843;630;1194;1464;382;1987;3505
2017-06-05;2108;1801;869;575;777;1156;1976;4931;872;283;3313;3031;1792;2063;631;1247;1656;795;2777;2881
2017-06-06;1424;1203;433;222;487;834;1697;4235;655;209;2814;2626;1461;1632;396;817;1314;652;2361;2320
2017-06-07;2027;1787;798;535;821;1337;1653;4030;768;264;2914;2773;1568;1725;582;945;1476;622;2483;2551
2017-06-08;2289;1957;917;592;973;1507;2164;4999;1019;310;3509;3233;1847;2100;615;1135;1784;738;2934;3157
2017-06-09;2855;2314;1134;730;912;1821;2153;4684;1008;307;3442;3219;1702;1967;616;1196;1812;728;2823;3270
2017-06-10;2812;2716;1511;1048;1468;2136;1719;2874;874;302;2268;2378;1512;1845;600;1095;1626;423;1914;2941
2017-06-11;4356;4751;2691;1965;2297;3713;2232;4094;1416;429;2550;2848;1507;2480;846;1619;1961;501;2731;4609
2017-06-12;1179;992;341;196;461;703;1481;3366;584;186;2318;2074;1306;1294;386;744;1337;494;2019;1974
2017-06-13;1279;1163;410;227;506;763;1470;3603;537;210;2505;2330;1401;1392;361;725;1339;604;2123;2007
2017-06-14;1411;1123;472;259;516;994;1490;2940;555;184;2459;2175;1359;1220;387;723;1434;496;1795;1912
2017-06-15;6480;6288;3118;2218;3238;4999;2257;3764;1373;475;2997;3062;1648;2216;937;1789;1746;423;2369;5309
2017-06-16;1045;925;495;304;613;796;955;1804;458;152;1514;1458;870;731;265;593;1106;275;1108;1281
2017-06-17;1854;1748;1090;704;1251;1589;1020;1708;719;227;1609;1685;1069;904;458;751;1147;280;1210;2019
2017-06-18;4989;4879;2605;1905;2639;3984;2163;3582;1311;428;2670;2386;1319;2030;852;1600;1874;415;2405;4496
2017-06-19;2707;2043;796;515;1352;1833;2252;4847;1027;314;3575;3207;1838;1965;635;1247;1899;775;2900;3190
2017-06-20;2341;1769;852;501;1150;1589;2148;4684;852;278;3451;3077;1719;1876;556;1123;1815;698;3042;3134
2017-06-21;2805;2157;1270;565;1229;1769;2313;4936;975;348;3738;3335;1860;2119;597;1319;1886;733;3058;3340
2017-06-22;2140;1702;781;389;887;1399;2003;4456;925;308;3444;2938;1675;1919;549;1030;1731;702;2763;2911
