Data;Al. USA - południe;Al. USA - północ;Banacha;Bazyliańska;Belwederska;Dworzec Wilenski (al. Solidarności);Dworzec Wileński Nowy( Targowa);Marszałkowska;Most Gdanski - ścieżka rowerowa;Most Gdański - ciąg pieszo-rowerowy;NSR - Solec - ciąg pieszo-rowerowy;NSR-Solec - ścieżka rowerowa;Praska sciezka rekreacyjna;Rowery;Wybrzeże Helskie;Wysockiego;Świętokrzyska - Emilii Plater, płd;Świętokrzyska - Emilii Plater, płn;Żwirki i Wigury/Trojdena;Żwirki i Wigury/Trojdena
2016-12-20;90;43;657;24;228;189;167;229;179;102;56;168;58;9;232;83;441;375;320;102
2016-12-21;72;38;688;26;227;181;181;232;178;84;38;172;78;6;269;92;461;345;301;106
2016-12-22;114;41;625;26;190;206;155;236;166;98;53;146;110;22;278;91;395;339;298;92
2016-12-23;49;17;312;13;93;119;128;147;74;26;18;72;44;6;156;60;269;178;140;37
2016-12-24;35;11;72;5;37;54;53;31;52;43;27;31;98;10;71;17;51;44;39;12
2016-12-25;28;20;66;7;69;62;29;44;96;109;31;60;179;28;86;18;67;29;51;13
2016-12-26;33;18;59;7;46;38;32;32;88;65;38;42;127;29;68;23;67;37;49;9
2016-12-27;36;15;209;10;73;89;81;78;76;35;12;67;26;3;108;30;197;111;109;33
2016-12-28;106;27;374;22;148;140;147;192;202;103;36;152;114;27;215;72;296;228;207;57
2016-12-29;127;48;395;26;155;178;142;199;195;117;59;150;139;30;239;87;327;234;206;65
2016-12-30;98;29;357;32;181;199;145;180;181;131;58;130;164;42;213;86;307;247;204;58
2016-12-31;63;33;167;18;101;92;78;131;194;169;73;82;505;81;168;45;147;113;108;24
2017-01-01;43;19;105;9;83;62;47;52;129;93;50;73;227;36;103;26;118;83;76;30
2017-01-02;83;29;441;14;141;160;117;160;140;60;30;122;66;11;211;60;251;214;231;69
2017-01-03;69;34;466;19;128;162;138;180;131;55;12;133;79;14;235;62;259;222;233;60
2017-01-04;45;11;364;12;99;93;82;132;71;16;15;85;29;1;121;39;193;158;151;25
2017-01-05;34;8;198;9;64;80;49;105;55;15;9;69;57;5;104;31;139;139;115;8
2017-01-06;20;4;28;3;22;38;18;21;30;7;8;19;260;32;38;12;51;28;29;1
2017-01-07;19;2;48;0;15;31;25;30;38;5;7;17;169;20;28;8;43;28;16;2
2017-01-08;21;4;28;1;21;27;13;32;48;15;5;21;331;28;38;10;64;34;31;2
2017-01-09;45;16;294;4;60;75;46;106;61;14;14;52;61;8;97;31;152;131;118;6
2017-01-10;40;18;327;3;104;94;51;117;98;16;7;71;48;7;123;28;211;175;156;6
2017-01-11;45;14;354;5;103;110;55;129;97;20;13;74;81;9;140;34;228;195;146;3
2017-01-12;36;1;320;5;66;92;61;110;81;9;6;70;55;10;105;39;166;141;137;1
2017-01-13;29;3;262;6;66;80;34;94;73;5;10;69;74;5;101;25;178;144;123;1
2017-01-14;39;4;87;8;30;59;41;54;78;14;10;68;187;10;80;27;81;67;42;0
2017-01-15;22;6;65;2;59;56;23;51;80;19;13;45;340;21;84;27;79;107;40;0
2017-01-16;48;0;349;9;102;117;52;145;103;9;6;88;124;21;141;43;238;168;150;0
2017-01-17;51;1;345;8;103;133;50;125;108;6;7;97;100;18;152;41;202;183;180;2
2017-01-18;56;2;341;5;75;106;37;135;133;10;10;78;117;9;138;35;263;161;174;1
2017-01-19;52;1;330;7;90;103;43;136;123;8;7;102;75;16;148;34;227;190;164;0
2017-01-20;32;0;277;5;64;108;43;97;55;10;2;54;54;7;101;25;204;176;117;1
2017-01-21;31;2;89;8;43;47;33;37;53;16;18;46;153;12;56;44;75;61;47;0
2017-01-22;36;6;92;7;48;72;48;40;70;18;20;61;176;11;79;36;75;72;35;0
2017-01-23;68;5;420;15;118;123;101;152;171;33;16;128;70;7;209;59;303;233;218;2
2017-01-24;61;4;373;7;126;120;76;126;136;23;12;133;63;6;181;33;266;233;177;4
2017-01-25;73;7;394;;146;110;77;149;145;24;12;106;66;3;178;54;254;239;213;6
2017-01-26;;;;;;;;;;;;;;;;;;;;
