"kolory","linie","fonty"
"#d54262","solid","bold"
"#d54262","dashed","normal"
"#d54262","dotdash","normal"
"#d13735","solid","bold"
"#d13735","dashed","normal"
"#d13735","dotdash","normal"
"#e97d56","solid","bold"
"#e75821","solid","bold"
"#ae5323","solid","bold"
"#ce922f","solid","bold"
"#bdb33a","solid","bold"
"#92c041","solid","bold"
"#538a2c","solid","bold"
"#58c93b","solid","bold"
"#58c93b","dashed","normal"
"#58c93b","dotdash","normal"
"#51c578","solid","bold"
"#51c578","dashed","normal"
"#51c578","dotdash","normal"
"#5774da","solid","bold"
"#874cdd","solid","bold"
"#874cdd","dashed","normal"
"#874cdd","dotdash","normal"
"#a967c5","solid","bold"
"#d346c7","solid","bold"
"#d14c90","solid","bold"
"#d14c90","dashed","normal"
"#d14c90","dotdash","normal"
