"temp_max","temp_min","temp_avg","opad","rodzaj","Data","deszcz","snieg"
24.1,13.1,18.4,2.6,"W",2017-07-01,2.6,0
22.5,14.1,17.2,0.9,"W",2017-07-02,0.9,0
20,13.9,16.4,0,"W",2017-07-03,0,0
20.2,9.7,15.2,1,"W",2017-07-04,1,0
19.5,10.3,14.2,1.1,"W",2017-07-05,1.1,0
21.6,8.6,16,0,"",2017-07-06,0,0
23.7,9.7,18.6,0.9,"W",2017-07-07,0.9,0
23.3,15,19,0,"W",2017-07-08,0,0
24.7,14,19.3,0.3,"W",2017-07-09,0.3,0
30.2,14.5,22,0.1,"W",2017-07-10,0.1,0
26.5,17.9,20.5,9.1,"W",2017-07-11,9.1,0
26,15.1,20.3,10,"W",2017-07-12,10,0
22.2,14.1,17.1,7,"W",2017-07-13,7,0
20.7,9.8,16,0,"",2017-07-14,0,0
21.3,12.8,17.1,0,"W",2017-07-15,0,0
23.2,11.6,18.1,1,"W",2017-07-16,1,0
22.4,14.6,17.7,0.3,"W",2017-07-17,0.3,0
23.1,13,18.1,0,"",2017-07-18,0,0
26.5,12.5,20.8,0,"",2017-07-19,0,0
24.8,17.1,20.5,1.6,"W",2017-07-20,1.6,0
24.2,15,19.7,1.3,"W",2017-07-21,1.3,0
25.8,16.8,21.4,0,"W",2017-07-22,0,0
27.7,16.4,20.4,7.9,"W",2017-07-23,7.9,0
26.6,17.2,22.1,2,"W",2017-07-24,2,0
24.3,17,18.8,7.2,"W",2017-07-25,7.2,0
21.1,14.3,17.3,0.2,"W",2017-07-26,0.2,0
25.3,12.6,18.9,0.9,"W",2017-07-27,0.9,0
23.7,15.3,18.2,34.1,"W",2017-07-28,34.1,0
24.3,12.8,18.6,0,"",2017-07-29,0,0
29.9,14.4,23.6,0,"",2017-07-30,0,0
31.6,18.4,25.3,0,"W",2017-07-31,0,0
34.3,20.1,27.4,0,"",2017-08-01,0,0
30.3,21.7,24.4,2,"W",2017-08-02,2,0
30.4,18.5,24.2,1,"W",2017-08-03,1,0
28.9,20.6,24.2,0,"",2017-08-04,0,0
26.9,18.3,22.2,2.7,"W",2017-08-05,2.7,0
23.4,17.5,20,0,"",2017-08-06,0,0
23,14.3,17.9,0,"",2017-08-07,0,0
24.9,11.6,19.1,0,"",2017-08-08,0,0
29.8,15.2,22.7,7.6,"W",2017-08-09,7.6,0
30.8,19.1,24.3,1.6,"W",2017-08-10,1.6,0
32.8,20.2,26.6,0,"",2017-08-11,0,0
29.3,17.1,20.1,1.1,"W",2017-08-12,1.1,0
22.5,13.1,17.1,0,"",2017-08-13,0,0
22.3,12.7,17.5,0,"",2017-08-14,0,0
24.1,12.4,18.7,0,"",2017-08-15,0,0
28.3,13.7,21.3,0.6,"W",2017-08-16,0.6,0
24.3,16.4,19.4,0,"W",2017-08-17,0,0
29.7,15.8,23.1,0,"",2017-08-18,0,0
26.8,16.6,19.7,7.4,"W",2017-08-19,7.4,0
16.9,15,15.9,14.6,"W",2017-08-20,14.6,0
18.6,12,15,5.3,"W",2017-08-21,5.3,0
18.3,12.4,14.2,0.9,"W",2017-08-22,0.9,0
18.9,11.1,13.8,1.8,"W",2017-08-23,1.8,0
20.9,10.1,15.5,0,"",2017-08-24,0,0
23.6,11.2,17.8,0.1,"W",2017-08-25,0.1,0
24.1,11.9,18.6,0,"",2017-08-26,0,0
25.6,14.4,19.3,1.3,"W",2017-08-27,1.3,0
20.9,12.5,15.4,0,"",2017-08-28,0,0
21.3,9.7,15.9,0,"",2017-08-29,0,0
24.8,10.1,17.9,0,"",2017-08-30,0,0
28.5,13.1,20.8,0.2,"W",2017-08-31,0.2,0
23.7,16.1,17.5,9.3,"W",2017-09-01,9.3,0
16.3,13.1,13.6,1.4,"W",2017-09-02,1.4,0
15.5,11,13.1,4.3,"W",2017-09-03,4.3,0
15.4,12.3,13.4,7.5,"W",2017-09-04,7.5,0
17.9,12.4,14.9,1.4,"W",2017-09-05,1.4,0
17.2,14.3,14.9,9.4,"W",2017-09-06,9.4,0
15.1,12.2,13.4,4.4,"W",2017-09-07,4.4,0
19.4,11.1,14.8,0,"",2017-09-08,0,0
23.7,12,17.5,0,"",2017-09-09,0,0
25,12.8,18.7,11.2,"W",2017-09-10,11.2,0
23.2,14.9,18.6,13.8,"W",2017-09-11,13.8,0
20.8,13.1,15,2.7,"W",2017-09-12,2.7,0
18.8,12.1,15.8,0,"W",2017-09-13,0,0
19,14.1,15.9,2.6,"W",2017-09-14,2.6,0
15.2,10.4,12.4,0,"",2017-09-15,0,0
17.1,8.9,12.8,0.3,"W",2017-09-16,0.3,0
15,12.2,13.2,41.4,"W",2017-09-17,41.4,0
15.8,10.5,12.3,0.1,"W",2017-09-18,0.1,0
17.5,4.9,12.2,0.4,"W",2017-09-19,0.4,0
14.3,11.4,11.9,4.3,"W",2017-09-20,4.3,0
12.1,10.5,11.5,5.5,"W",2017-09-21,5.5,0
15.3,11.6,13.3,4.9,"W",2017-09-22,4.9,0
18.4,13,14.7,0.4,"W",2017-09-23,0.4,0
17.3,13.2,14.3,1.9,"W",2017-09-24,1.9,0
15.9,12.1,13.3,0,"",2017-09-25,0,0
21,10.6,15,0,"",2017-09-26,0,0
19.1,9.2,13.4,0,"",2017-09-27,0,0
17.5,7.8,12.1,0,"",2017-09-28,0,0
16,4.5,10.4,0,"",2017-09-29,0,0
15.8,4.8,10.3,0,"",2017-09-30,0,0
15,3.5,9.1,0,"",2017-10-01,0,0
16.9,2.9,9.9,8.8,"W",2017-10-02,8.8,0
12.3,9.4,10.9,5.5,"W",2017-10-03,5.5,0
14.1,9.8,11.5,4.3,"W",2017-10-04,4.3,0
12,7.1,9.3,15.2,"W",2017-10-05,15.2,0
11.8,7.6,9.2,0,"W",2017-10-06,0,0
12.1,7.4,9.5,0.4,"W",2017-10-07,0.4,0
12.9,7.3,9.2,2.2,"W",2017-10-08,2.2,0
11.6,4.6,8.1,4,"W",2017-10-09,4,0
11.6,5.7,8.3,3.3,"W",2017-10-10,3.3,0
14.6,5.5,12.8,1.9,"W",2017-10-11,1.9,0
17.6,12.8,13.8,0,"W",2017-10-12,0,0
14,9.8,11,0,"",2017-10-13,0,0
16.2,6.6,12.3,0,"W",2017-10-14,0,0
17.3,14.3,14.9,0,"W",2017-10-15,0,0
21.8,6.1,14,0,"",2017-10-16,0,0
22.3,7.7,14.9,0,"",2017-10-17,0,0
19.9,7.2,13.5,0,"",2017-10-18,0,0
16.9,9.3,12.9,0,"",2017-10-19,0,0
16,7.7,11.9,0,"W",2017-10-20,0,0
13,10.6,11.6,5.8,"W",2017-10-21,5.8,0
11.6,7.6,8.8,1.7,"W",2017-10-22,1.7,0
8.9,6.5,7.6,1,"W",2017-10-23,1,0
6.5,4.9,5.7,0.1,"W",2017-10-24,0.1,0
8.8,4.8,6.9,4.9,"W",2017-10-25,4.9,0
13.5,8.8,11.4,0,"",2017-10-26,0,0
11.5,8.3,9.7,1.5,"W",2017-10-27,1.5,0
9.1,5.6,7.5,9.8,"W",2017-10-28,9.8,0
8.9,4.2,6.6,12,"W",2017-10-29,12,0
6.2,3.1,4,0,"W",2017-10-30,0,0
6.1,0.2,3.1,0.1,"W",2017-10-31,0.1,0
8.3,3.3,7,4.3,"W",2017-11-01,4.3,0
10.1,7.6,9.6,7.4,"W",2017-11-02,7.4,0
10.8,8.2,9,0.1,"W",2017-11-03,0.1,0
11.6,7.5,8.6,0,"",2017-11-04,0,0
12.6,4.6,7.8,0,"",2017-11-05,0,0
13.3,6.1,9.4,0,"W",2017-11-06,0,0
9.7,7.4,8.3,0,"W",2017-11-07,0,0
7.7,4.1,5.1,0,"W",2017-11-08,0,0
6.6,4.6,5.7,0,"W",2017-11-09,0,0
9.1,5.3,7.1,4.3,"W",2017-11-10,4.3,0
7.1,2.7,5.2,1.5,"W",2017-11-11,1.5,0
5.3,1.4,3.6,0.6,"W",2017-11-12,0.6,0
3.1,1.5,2.7,1.5,"W",2017-11-13,1.5,0
4.6,2.2,3.7,0,"W",2017-11-14,0,0
7.5,2.9,5.5,0,"W",2017-11-15,0,0
6.9,3.4,5.3,0,"W",2017-11-16,0,0
7,2.2,4.8,0.1,"W",2017-11-17,0.1,0
5.9,2,3.3,0.5,"W",2017-11-18,0.5,0
5.5,2.5,3.8,0.9,"S",2017-11-19,0,0.9
3.9,0.3,2.2,4,"S",2017-11-20,0,4
3.4,-1.9,0.6,0,"",2017-11-21,0,0
2.5,-0.3,1.8,1.3,"S",2017-11-22,0,1.3
9.3,2.5,5.4,0,"",2017-11-23,0,0
10.4,1.2,6.2,0.3,"W",2017-11-24,0.3,0
10.5,5.4,8.2,0.6,"W",2017-11-25,0.6,0
8.9,3.2,4.1,0,"",2017-11-26,0,0
4,-2.6,1,0,"",2017-11-27,0,0
3.8,-1,1.6,0,"W",2017-11-28,0,0
2.9,0.3,1.3,5.3,"S",2017-11-29,0,5.3
0.9,0,0.4,12.4,"S",2017-11-30,0,12.4
1.4,0,0.9,0.1,"S",2017-12-01,0,0.1
2.4,1.1,1.4,0,"",2017-12-02,0,0
1.4,0.2,0.5,0.5,"S",2017-12-03,0,0.5
1.7,-2.2,0.3,0.5,"S",2017-12-04,0,0.5
4.1,0.2,2.4,2.9,"S",2017-12-05,0,2.9
6.3,4.1,5.6,3.3,"W",2017-12-06,3.3,0
6.2,2,4.5,0,"",2017-12-07,0,0
5.7,0.9,3.8,0,"W",2017-12-08,0,0
4.8,-1.1,0.5,0,"W",2017-12-09,0,0
2.7,-1.2,0.8,0.4,"S",2017-12-10,0,0.4
5.9,-1.1,3.4,0.4,"W",2017-12-11,0.4,0
11,3.3,7.4,0,"",2017-12-12,0,0
5.4,-0.6,1.5,0,"",2017-12-13,0,0
5.2,-2,1.4,0.9,"S",2017-12-14,0,0.9
3,-0.5,2,2.3,"S",2017-12-15,0,2.3
3.8,0.6,1.2,0,"W",2017-12-16,0,0
3.1,-1,0.9,0,"W",2017-12-17,0,0
0.6,-1.8,-0.8,0,"",2017-12-18,0,0
-1.2,-3.3,-2.2,0.2,"S",2017-12-19,0,0.2
0.6,-3.5,-0.6,0.7,"S",2017-12-20,0,0.7
1.9,-1.7,0.1,0.7,"S",2017-12-21,0,0.7
4.3,1.8,3.3,0,"W",2017-12-22,0,0
5.6,0.8,3.4,8.5,"S",2017-12-23,0,8.5
9.3,5.6,8.4,3.7,"W",2017-12-24,3.7,0
9.1,7.8,8.4,0.1,"W",2017-12-25,0.1,0
8,0.8,4.6,0,"",2017-12-26,0,0
5.7,-2.2,2.9,0,"W",2017-12-27,0,0
8.9,4.4,6.8,0.2,"W",2017-12-28,0.2,0
7.6,0.4,1.9,3.8,"S",2017-12-29,0,3.8
2.6,-2.9,-0.1,3.7,"S",2017-12-30,0,3.7
5.3,-0.6,3.6,0.1,"W",2017-12-31,0.1,0
