"Data","temp_max","temp_min","temp_avg","opad","rodzaj","deszcz","snieg"
2018-09-01,24.4,11.2,18.5,0,"",0,0
2018-09-02,27.6,15.8,21.3,0,"",0,0
2018-09-03,25.8,15.6,20.8,0,"",0,0
2018-09-04,26.1,14,20.5,0,"",0,0
2018-09-05,23.5,14.3,18,0.9,"W",0.9,0
2018-09-06,24.4,13.4,18.5,0,"",0,0
2018-09-07,26.2,11.9,18.7,0,"",0,0
2018-09-08,23.5,12.8,17.6,1.3,"W",1.3,0
2018-09-09,22,15.5,17.5,0,"",0,0
2018-09-10,24.5,13,18.5,0,"",0,0
2018-09-11,23.8,10.6,17.9,0,"",0,0
2018-09-12,28.8,13.8,21.4,0,"",0,0
2018-09-13,22.4,15.2,18.5,16.1,"W",16.1,0
2018-09-14,19.1,13.3,15.7,0,"W",0,0
2018-09-15,19.7,14.4,16.1,0.1,"W",0.1,0
2018-09-16,20.1,10.9,14.3,0,"",0,0
2018-09-17,23.2,8.6,15.8,0,"",0,0
2018-09-18,26.1,10.4,18.4,0,"",0,0
2018-09-19,27.5,13.3,20.2,0,"",0,0
2018-09-20,28.6,12.1,20.6,0,"",0,0
2018-09-21,27.2,13.3,20.4,0.1,"W",0.1,0
2018-09-22,21.5,12,14,0,"W",0,0
2018-09-23,13.9,7,11.1,24.5,"W",24.5,0
2018-09-24,12.1,7.3,9.1,1,"W",1,0
2018-09-25,12.4,4.7,7.9,0,"W",0,0
2018-09-26,14.2,1.1,9,0.8,"W",0.8,0
2018-09-27,18.2,9.9,14.7,0,"",0,0
2018-09-28,18.5,10.9,13.5,0,"W",0,0
2018-09-29,13.8,3.1,8,0,"",0,0
2018-09-30,15.2,0,8.3,0,"",0,0
